Geographic code,Provincial Geographic Code,Population 2016,Population 2011,Population percent change,Total private dwellings 2016,Population density per square kilometre 2016,National population rank
1001,10,270348,262410,3,131336,29.3,26
1002,10,20372,21351,-4.6,11497,3.3,219
1003,10,15560,16306,-4.6,8289,0.8,249
1004,10,20387,20840,-2.2,11338,2.9,218
1005,10,42014,41004,2.5,20924,4.1,145
1006,10,38345,37304,2.8,19296,2.4,151
1007,10,34092,34686,-1.7,20097,3.5,165
1008,10,35794,37121,-3.6,21913,3.8,162
1009,10,15607,16786,-7,9346,1.2,247
1010,10,24639,24111,2.2,10758,0.1,192
1011,10,2558,2617,-2.3,945,0,291
1101,11,17160,17990,-4.6,10026,10.2,241
1102,11,82017,77866,5.3,39399,40.6,80
1103,11,43730,44348,-1.4,21694,22.1,134
1201,12,13966,14496,-3.7,7765,5.7,257
1202,12,24419,25275,-3.4,12342,11.5,194
1203,12,17323,18036,-4,9927,6.9,238
1204,12,10351,10960,-5.6,6608,4.3,272
1205,12,20591,20756,-0.8,11391,6.5,215
1206,12,47126,47313,-0.4,26648,16.2,128
1207,12,60600,60589,0,29187,28.5,104
1208,12,42558,42304,0.6,19202,13.9,140
1209,12,403390,390328,3.3,187478,73.4,20
1210,12,50585,50968,-0.8,25378,13.9,119
1211,12,30005,31353,-4.3,18445,7,181
1212,12,43748,45643,-4.2,22525,15.4,133
1213,12,7625,8143,-6.4,5190,1.9,281
1214,12,19301,19589,-1.5,9842,13.2,225
1215,12,17235,17947,-4,9876,4.5,240
1216,12,8964,9293,-3.5,5122,7.2,279
1217,12,98722,101619,-2.9,47205,40,64
1218,12,7089,7115,-0.4,4437,2.5,282
1301,13,74020,76550,-3.3,36825,50.6,87
1302,13,25428,26549,-4.2,13513,7.4,189
1303,13,27644,27143,1.8,11853,10.3,187
1304,13,10472,11086,-5.5,7289,2.8,270
1305,13,68941,69665,-1,29570,19.8,91
1306,13,29158,28846,1.1,13111,16.1,184
1307,13,149623,144158,3.8,71839,40.8,41
1308,13,30475,30833,-1.2,16251,6.7,180
1309,13,44952,46204,-2.7,21792,3.5,130
1310,13,99411,97238,2.2,46855,12.2,63
1311,13,26220,27019,-3,11823,7.9,188
1312,13,18617,19921,-6.5,9178,3.4,229
1313,13,32741,33422,-2,15774,9.5,167
1314,13,30955,32594,-5,15259,3.6,177
1315,13,78444,79943,-1.9,38789,16.5,82
2401,24,12475,12781,-2.4,6477,59.3,262
2402,24,17282,17979,-3.9,8969,5.6,239
2403,24,17117,17985,-4.8,8648,4.2,242
2404,24,11316,12088,-6.4,6282,2.2,266
2405,24,17660,18000,-1.9,8744,4,237
2406,24,14461,15246,-5.1,7340,4.1,253
2407,24,17925,18573,-3.5,9142,3.3,235
2408,24,21301,21786,-2.2,11948,6.4,212
2409,24,18210,18942,-3.9,9692,8,232
2410,24,56650,55095,2.8,28811,20.9,110
2411,24,8694,9142,-4.9,5185,7.7,280
2412,24,33958,34375,-1.2,17019,26.6,166
2413,24,19574,20572,-4.9,10778,5,224
2414,24,21073,21492,-1.9,10645,9.4,213
2415,24,15509,16240,-4.5,8707,6.7,250
2416,24,12997,13338,-2.6,7330,3.5,260
2417,24,17798,18517,-3.9,9924,8.5,236
2418,24,22698,22877,-0.8,12079,13.4,204
2419,24,37233,35318,5.4,17740,21.3,155
2420,24,7082,6711,5.5,3703,36.7,283
2421,24,28199,26172,7.7,14244,5.8,185
2422,24,43485,36929,17.8,18401,13.6,135
2423,24,569717,551856,3.2,282180,1038.3,11
2425,24,143414,138769,3.3,62585,319.4,44
2426,24,36785,35107,4.8,15501,40.6,157
2427,24,19125,19288,-0.8,8698,22.8,226
2428,24,16536,17254,-4.2,8764,9.1,244
2429,24,52406,51011,2.7,24195,26.8,116
2430,24,21462,22210,-3.4,12478,7.8,210
2431,24,42346,43120,-1.8,22714,22.1,141
2432,24,23425,23366,0.3,11315,18.2,199
2433,24,31741,29617,7.2,14642,19.1,172
2434,24,53008,49370,7.4,26586,13.5,113
2435,24,12358,12924,-4.4,8324,2.4,263
2436,24,49349,50060,-1.4,26953,67.2,123
2437,24,153030,149203,2.6,76859,131.7,39
2438,24,20404,20081,1.6,9947,17.8,217
2439,24,72014,69237,4,33483,38.1,89
2440,24,14286,14756,-3.2,7226,18.1,254
2441,24,22335,22065,1.2,11203,9.8,206
2442,24,30686,29654,3.5,14359,21.9,179
2443,24,161323,154601,4.3,80341,456,35
2444,24,18497,18847,-1.9,8747,13.8,231
2445,24,50415,48551,3.8,30430,38.2,122
2446,24,58314,55621,4.8,31470,35.3,109
2447,24,88306,85042,3.8,40364,138.7,71
2448,24,15594,15381,1.4,7101,26.9,248
2449,24,103397,98681,4.8,47581,64.6,59
2450,24,23159,22798,1.6,11045,23,201
2451,24,36316,36286,0.1,19075,15.2,159
2452,24,42189,41650,1.3,20768,33.8,143
2453,24,51025,50900,0.2,25425,85.4,118
2454,24,87099,84248,3.4,40244,66.9,72
2455,24,36536,35690,2.4,15470,75.6,158
2456,24,117443,114344,2.7,52461,125.5,54
2457,24,124420,116773,6.5,49971,211.4,52
2458,24,415347,399097,4.1,183008,1471.8,19
2459,24,77550,74416,4.2,30532,224.1,83
2460,24,124759,119840,4.1,50828,488,51
2461,24,66550,63551,4.7,30969,159.2,96
2462,24,50435,49516,1.9,35858,5.3,121
2463,24,52596,48378,8.7,23295,74,115
2464,24,158267,148813,6.4,60944,606.1,36
2465,24,422993,401553,5.3,165686,1710.9,18
2466,24,1942044,1886481,2.9,939112,3889.8,3
2467,24,171443,162187,5.7,67868,404.5,31
